Lookback,Observations,Total Return,Annualized Return,Annualized Volatility,Sharpe,Maximum Drawdown,Average Turnover
20,499,-0.24910974144173348,-0.13207454561239979,0.1587148406841596,-0.8321499428980705,-0.3007647550568545,0.26452905811623245
60,499,0.22266798429595425,0.11682753685519619,0.17490618561466464,0.6679439977759198,-0.16448562983066528,0.11022044088176353
120,499,0.10425219316379297,0.06773905813238179,0.18747735731717494,0.3613186098936768,-0.17097909752061768,0.08016032064128256
252,499,-0.028397011267776162,0.0025296888345896144,0.18480424214400437,0.013688478171504384,-0.19542643089211398,0.07615230460921844
