Date,gross_return,turnover,transaction_cost,net_return,benchmark_return
2025-10-08,-0.003149520295681607,0.0,0.0,-0.003149520295681607,0.0010606737443762022
2025-10-09,-0.003981918377043536,0.0,0.0,-0.003981918377043536,-0.010959203375743484
2025-10-10,0.000681588386034937,0.0,0.0,0.000681588386034937,-0.025652267259109445
2025-10-13,0.012996908087525405,0.0,0.0,0.012996908087525405,0.015944353251726273
2025-10-14,0.0031291784213985374,0.0,0.0,0.0031291784213985374,0.0016116638469034401
2025-10-15,0.011503177960778155,0.0,0.0,0.011503177960778155,0.009599224836745949
2025-10-16,0.0026288648484000254,0.0,0.0,0.0026288648484000254,-0.003137285191366024
2025-10-17,0.0017333389218530115,0.0,0.0,0.0017333389218530115,0.010242454482324229
2025-10-20,0.003290196110204313,0.0,0.0,0.003290196110204313,0.01950654004357551
2025-10-21,-0.012710765931586265,0.0,0.0,-0.012710765931586265,-0.006677848076015162
2025-10-22,-0.0003262667248226103,0.0,0.0,-0.0003262667248226103,-0.0019885906001786044
2025-10-23,0.002742122566775085,0.0,0.0,0.002742122566775085,0.003311102469852001
2025-10-24,0.010583976092274794,0.0,0.0,0.010583976092274794,0.015122601026383556
2025-10-27,0.01043297179983571,0.0,0.0,0.01043297179983571,0.02462351143175175
2025-10-28,-0.013266737962476016,0.0,0.0,-0.013266737962476016,0.004623604806855086
2025-10-29,0.013752159394465835,0.0,0.0,0.013752159394465835,0.00939599262332839
2025-10-30,0.027161836693291697,0.0,0.0,0.027161836693291697,0.000770958309435632
2025-10-31,0.007045349580787286,0.0,0.0,0.007045349580787286,-0.006648790884145532
2025-11-03,0.005251909521346798,0.0,0.0,0.005251909521346798,0.0008696441741088782
2025-11-04,-0.00827995225874728,0.0,0.0,-0.00827995225874728,-0.007774853095675642
2025-11-05,0.019166673271585555,0.0,0.0,0.019166673271585555,0.0036075765255750847
2025-11-06,0.010691777846614459,0.0,0.0,0.010691777846614459,-0.006552667632559202
2025-11-07,-0.010113449932346863,0.0,0.0,-0.010113449932346863,-0.008724117860627286
2025-11-10,0.010970688112131866,0.0,0.0,0.010970688112131866,0.020824076255939072
2025-11-11,-0.0005627335810332035,0.0,0.0,-0.0005627335810332035,0.010356192071216816
2025-11-12,-0.010313392312989111,0.0,0.0,-0.010313392312989111,-0.005807180157015794
2025-11-13,-0.006516614782364316,0.0,0.0,-0.006516614782364316,-0.015216791015691991
2025-11-14,-0.01072190312081489,0.0,0.0,-0.01072190312081489,0.0013192166958101066
2025-11-17,0.018211014206952647,0.0,0.0,0.018211014206952647,0.0025685305280139423
