Date,strategy_return,cumulative_returns,drawdown
2023-09-12,-0.0011970187530189191,-0.0011970187530189191,0.0
2023-09-13,0.021977447022984875,0.02075412085373607,0.0
2023-09-14,0.0013850039887262078,0.02216786938262727,0.0
2023-09-15,-0.020883042154128173,0.0008218946777145408,-0.020883042154128173
2023-09-18,-0.011018122732350477,-0.01020528379106811,-0.0316710729649996
2023-09-19,1.5961078592141575e-05,-0.010189485599812587,-0.03165561739089218
2023-09-20,-0.007173516095873023,-0.017289907256726633,-0.038602051405886795
2023-09-21,-0.005023697243352276,-0.022226745240655488,-0.04343182363000353
2023-09-22,0.012831101328900973,-0.009680837532148878,-0.031158000430997923
2023-09-25,0.0007775977732094042,-0.008910767556647325,-0.030404631049541386
2023-09-26,-0.003949137880518316,-0.012824715587463231,-0.03423369684983879
2023-09-27,-0.02429878701476551,-0.03681187756964399,-0.05770064655612206
2023-09-28,0.012033509343398752,-0.02522134429892764,-0.04636147848217653
2023-09-29,-0.014005569670296425,-0.038873674674466896,-0.059717729235572836
2023-10-02,0.01045862551629373,-0.02882161436403563,-0.049883669086037474
2023-10-03,-0.005198837724930683,-0.033870613192917176,-0.054823169710265685
2023-10-04,0.01391017239243686,-0.02043158686903135,-0.041675597059598446
2023-10-05,-0.008454997599739111,-0.028713835450833947,-0.04977822758623096
2023-10-06,-0.009986530862880594,-0.0384136147097931,-0.0592676466430222
2023-10-09,-0.0017169878358573865,-0.04006464683646249,-0.060882872650533604
2023-10-10,0.0017349180255867847,-0.03839923768886111,-0.05925358141815784
2023-10-11,0.004367963171084677,-0.03419900097379913,-0.0551444357084625
2023-10-12,-0.008851564744574714,-0.042747851047054475,-0.06350788591006074
2023-10-13,0.0012277031204233069,-0.04157262959675301,-0.06235815161934066
2023-10-16,-0.013321507906024044,-0.05434032738892969,-0.07484895491556265
2023-10-17,0.007041064393347285,-0.047681876739883555,-0.0683349068335507
2023-10-18,-0.005201758704700188,-0.05263560582719562,-0.0731812038417946
2023-10-19,0.005826500356720499,-0.04711578684660356,-0.06778109379536357
2023-10-20,0.0006694360759920137,-0.046477891778075375,-0.06715703282882834
2023-10-23,0.007418039029633228,-0.03940462756366703,-0.06023716728983375
2023-10-24,0.0011308852222375876,-0.03831830445242901,-0.059174403389913754
2023-10-25,0.04416969941376736,0.004158886971629361,-0.01761841958686794
2023-10-26,-0.011003681901402773,-0.006890557999073121,-0.02842823400353134
2023-10-27,0.00675519705884442,-0.00018190801735784579,-0.021865075267415768
2023-10-30,0.00399599306951659,0.0038133581489820934,-0.017956454887132156
2023-10-31,0.005424895332604596,0.009258940550410655,-0.012628971442834924
2023-11-01,0.004442053783213051,0.013742123045524135,-0.00824301622999768
2023-11-02,0.012468628268014426,0.026382096737406435,0.0
2023-11-03,-0.01780949680483812,0.00810274806501865,-0.01780949680483801
