,Training,Testing
Observations,273.0,226.0
Total Return,0.028809952917548287,0.18842938953754618
Annualized Return,0.037470241197365035,0.21268834090204533
Annualized Volatility,0.15044242740251876,0.20070634875611068
Sharpe,0.24906698093291796,1.0596991187383644
Maximum Drawdown,-0.13855276754547496,-0.16448562983066561
Average Turnover,0.14652014652014653,0.06637168141592921
