simulation_id,mean_daily_return,estimated_se,ci_lower,ci_upper,covers_trus_mean,t_statistic,p_value,reject_null,sample_sharpe
1,0.0001624839545843968,0.0006603398715542031,-0.0011380291588921699,0.0014629970680609633,True,0.24606109911547194,0.8058360321281226,False,0.24606109911547197
2,0.0001518624876366642,0.0006212226171313114,-0.001071610749055794,0.0013753357243291222,True,0.24445743514287432,0.8070762800117817,False,0.24445743514287432
3,0.00023293257021699747,0.000591293645465502,-0.0009315967471379188,0.0013974618875719138,True,0.3939372120828711,0.6939618532068579,False,0.39393721208287114
4,0.0006329928494728846,0.0006227288778717693,-0.0005934469078397351,0.0018594326067855043,True,1.0164822476776623,0.3103785922930846,False,1.0164822476776625
5,0.0011103081420139958,0.0006359309786922347,-0.0001421326277803391,0.0023627489118083307,True,1.7459569972472446,0.08204191608533763,False,1.7459569972472446
6,0.0005258113819220228,0.000646846980997601,-0.0007481280202530224,0.001799750784097068,True,0.8128837226867615,0.4170550827454525,False,0.8128837226867615
7,0.0008358858673917349,0.0006383516307964237,-0.0004213222804457475,0.0020930940152292174,True,1.3094442421159989,0.19158126902323588,False,1.3094442421159986
8,-0.0007878112585662416,0.0005844482172684369,-0.0019388587773487165,0.0003632362602162334,True,-1.3479573301605268,0.178887376776192,False,-1.347957330160527
9,0.0006886122152324272,0.0006488863637743108,-0.0005893436702094347,0.001966568100674289,True,1.0612215846655293,0.2896092508205454,False,1.0612215846655293
10,-0.00010412850987582487,0.0006129629257057155,-0.0013113346128164243,0.0011030775930647744,True,-0.16987733761538648,0.8652434427460612,False,-0.16987733761538645
11,0.00015028230259610595,0.000615464414798237,-0.0010618503836210505,0.0013624149888132625,True,0.24417707828871282,0.8072931536988944,False,0.24417707828871282
12,-0.00035290166778758215,0.0005928147180743395,-0.0015204266771483245,0.00081462334157316,True,-0.5952984246644969,0.552180341627884,False,-0.5952984246644969
13,0.0002972756477475681,0.0006434856256795952,-0.0009700436988190949,0.001564594994314231,True,0.4619771380807623,0.6444978764656297,False,0.46197713808076235
14,0.0005606259684233825,0.0006093957137176672,-0.0006395546523846771,0.001760806589231442,True,0.9199703178140833,0.35847156156584487,False,0.9199703178140833
15,-0.0007842525396148909,0.0006264282063195063,-0.002017977977172769,0.00044947289794298724,True,-1.2519432102565429,0.21175593510655566,False,-1.2519432102565429
16,-1.926415896646219e-05,0.0005820332690802656,-0.0011655555333415259,0.0011270272154086016,True,-0.03309803750033669,0.9736227121565352,False,-0.0330980375003367
17,0.0003319050805979983,0.000693101886844095,-0.0010331315189557328,0.0016969416801517294,True,0.4788691055354987,0.6324486466657723,False,0.4788691055354988
18,0.00011378850286430594,0.0006360315324567611,-0.0011388503035699611,0.0013664273092985732,True,0.17890387041784214,0.8581575068355742,False,0.17890387041784214
19,0.0009228474629709618,0.0005896268116645394,-0.000238399091507565,0.0020840940174494888,True,1.5651382276286374,0.1188103604505838,False,1.5651382276286379
20,0.0005601187794101865,0.0006556997909942207,-0.000731255879952377,0.00185149343877275,True,0.8542305291281133,0.39379181691677145,False,0.8542305291281135
21,-0.00035415960713668245,0.0006523741814382446,-0.0016389846107474732,0.0009306653964741083,True,-0.5428780249333153,0.5876955205363948,False,-0.5428780249333153
22,0.0008796226179280458,0.0006405875429473334,-0.00038198906996222146,0.002141234305818313,True,1.3731497398168495,0.17093120945110749,False,1.3731497398168497
23,0.0006097695856848029,0.0006215154256143339,-0.0006142803256691619,0.0018338194970387678,True,0.9811012897742306,0.327487504240547,False,0.9811012897742305
24,0.0005352481562697323,0.000626998907974026,-0.0006996012554983334,0.001770097568037798,True,0.8536668078087075,0.39410357782459,False,0.8536668078087075
25,-0.0006612605652314148,0.0006407610860573718,-0.0019232140393746116,0.000600692908911782,True,-1.0319923909552264,0.3030690250550942,False,-1.0319923909552267
26,0.00016320326679210629,0.0006921409436760289,-0.0011999407934114954,0.0015263473269957078,True,0.23579484537544854,0.8137841508361572,False,0.23579484537544856
27,0.0006659755908877579,0.0006253212224572567,-0.00056556968598124,0.0018975208677567558,True,1.0650135753761019,0.287893215681765,False,1.065013575376102
28,-0.0002880551957891423,0.0006292034191004518,-0.0015272463045411775,0.0009511359129628931,True,-0.4578093300906785,0.6474854896261137,False,-0.45780933009067853
29,0.0009806056293440492,0.0006461987538864435,-0.0002920571153173625,0.002253268374005461,True,1.51749848393606,0.13039934104363377,False,1.5174984839360601
30,-0.0003924731824925486,0.0006397008127543079,-0.001652338490535373,0.0008673921255502757,True,-0.6135261588971704,0.5400840773456133,False,-0.6135261588971704
31,-0.00017606217485611634,0.0006551822502462276,-0.0014664175582995394,0.0011142932085873066,True,-0.2687224429385097,0.7883640197572999,False,-0.2687224429385098
32,0.001002022714718278,0.0006295109913696717,-0.0002377741453849832,0.0022418195748215393,True,1.5917477668469397,0.11269998241632749,False,1.5917477668469397
33,-0.0006382244472646321,0.00059468041485557,-0.0018094238722320688,0.0005329749777028045,True,-1.073222576902314,0.2842019728395995,False,-1.073222576902314
34,0.0004977678725190053,0.0006209680348917688,-0.0007252039745781159,0.0017207397196161264,True,0.8015998321165813,0.4235426854184603,False,0.8015998321165814
35,-0.00027693635400792506,0.0006570034076511166,-0.0015708784345277926,0.0010170057265119423,True,-0.42151433429852836,0.6737403000309801,False,-0.4215143342985283
36,0.00030187066891050113,0.0006341474439367842,-0.0009470575001191014,0.0015507988379401035,True,0.47602599647250726,0.6344699253472387,False,0.47602599647250726
37,6.385577526738235e-07,0.0006573903530274424,-0.0012940655962959758,0.0012953427118013233,True,0.0009713524844608834,0.9992257445248397,False,0.0009713524844608835
38,0.00040160539567454947,0.0006482859910193452,-0.0008751680795048985,0.0016783788708539975,True,0.6194880056610158,0.5361568302286843,False,0.6194880056610159
39,-0.000917024797595088,0.0006228707533438578,-0.002143743973007205,0.00030969437781702875,True,-1.472255347794186,0.1422046945573715,False,-1.4722553477941862
40,-0.0008973927506066504,0.0005750575284400875,-0.0020299456812354496,0.00023516018002214866,True,-1.5605269146565837,0.11989534452646412,False,-1.5605269146565839
41,0.0009924499854730767,0.0006681576416480751,-0.00032345991526895644,0.00230835988621511,True,1.485353041873626,0.13870517815652353,False,1.4853530418736263
42,-0.0006086101586900818,0.000659130866124965,-0.0019067421840592656,0.000689521866679102,True,-0.923352538879123,0.35671027757977886,False,-0.923352538879123
43,0.0005211604090662995,0.000655041817057237,-0.0007689183967968242,0.0018112392149294233,True,0.7956139524154394,0.42700821176857506,False,0.7956139524154394
44,0.0006897792594369154,0.0006101579698158197,-0.000511902594439415,0.0018914611133132456,True,1.1304929109507984,0.2593476600774729,False,1.1304929109507984
45,-0.0009204301171200141,0.0005497896141960083,-0.0020032188956201785,0.00016235866138015033,True,-1.6741496990008016,0.0953467579732112,False,-1.6741496990008018
46,9.479386491658734e-06,0.0006067207979531274,-0.001185433094106964,0.0012043918670902815,True,0.01562396826289622,0.9875467958632645,False,0.01562396826289622
47,-0.0017898323418513511,0.0006208412150816037,-0.003012554422376328,-0.0005671102613263744,False,-2.882914823262973,0.004281651337232462,True,-2.8829148232629733
48,-0.00039779076799865656,0.0006579178503585655,-0.0016935338070609202,0.0008979522710636071,True,-0.6046207254930998,0.5459771964445671,False,-0.6046207254930999
49,-0.0001750147327790455,0.0006253457826261295,-0.0014066083799238126,0.0010565789143657215,True,-0.2798687344529197,0.7798087159008411,False,-0.2798687344529197
50,0.0011871099687274494,0.0006455878732315876,-8.434967078064289e-05,0.0024585696082355417,True,1.8388046274555792,0.06712526368045942,False,1.8388046274555794
51,7.477620025436046e-05,0.0006241248768013201,-0.0011544129214272575,0.0013039653219359786,True,0.11980967757220841,0.9047297565874846,False,0.11980967757220842
52,-0.0001325636939396513,0.0006175713073395585,-0.0013488458212199763,0.001083718433340674,True,-0.2146532592498893,0.8302119586130149,False,-0.2146532592498893
53,0.0005280007389872066,0.0006191311821384114,-0.0006913534996689092,0.0017473549776433226,True,0.8528091529222446,0.3945781841322551,False,0.8528091529222447
54,0.0005867664757208364,0.0006132906918978557,-0.0006210851496990119,0.0017946181011406848,True,0.9567509885158392,0.3396135492544186,False,0.9567509885158392
55,-8.132138787057456e-05,0.0006728316756372941,-0.00140643661265507,0.001243793836913921,True,-0.12086438676292759,0.9038951472050529,False,-0.12086438676292757
56,0.0005416559256366074,0.0006644195938112647,-0.0007668920385633648,0.0018502038898365798,True,0.8152317160448921,0.4157125647846622,False,0.8152317160448921
57,-0.0011708144367155763,0.000627739430710921,-0.0024071222785613123,6.549340513015969e-05,True,-1.8651280761344202,0.06333029071456185,False,-1.8651280761344204
58,0.0002066135915517128,0.000616051364234936,-0.0010066750682364142,0.0014199022513398398,True,0.33538370913000537,0.737615797681989,False,0.33538370913000537
59,-0.00011213217150445399,0.0006196770885877467,-0.0013325615512003212,0.0011082972081914134,True,-0.180952585741075,0.8565508189222967,False,-0.18095258574107503
60,-0.00042432999540257453,0.0005861938163592574,-0.0015788154021670999,0.0007301554113619507,True,-0.7238732029587255,0.4698176931377457,False,-0.7238732029587255
61,0.0011262080578777133,0.0006322187055774582,-0.00011892153766447405,0.002371337653419901,True,1.7813583304990213,0.0760630750235885,False,1.7813583304990215
62,0.0006761809058328192,0.0006097434864537667,-0.0005246846395471015,0.0018770464512127398,True,1.10895962130805,0.26850900959440865,False,1.10895962130805
63,-2.0687086626011167e-05,0.0006415651388300189,-0.0012842241107255258,0.0012428499374735034,True,-0.03224471744792256,0.9743025208694689,False,-0.03224471744792256
64,-0.00047500320744975414,0.0006519352464907828,-0.00175896374613918,0.0008089573312396719,True,-0.7286048883023075,0.466922623376282,False,-0.7286048883023075
65,-0.000893749229463938,0.0006462204422107339,-0.002166454688417435,0.00037895622948955904,True,-1.3830407877633872,0.16788140159208587,False,-1.3830407877633875
66,-9.251021635312818e-05,0.0006328138964104123,-0.0013388120165684276,0.0011537915838621712,True,-0.14618866127606425,0.8838897953650945,False,-0.14618866127606425
67,-0.0005875373705167408,0.0006155025546541764,-0.001799745171663242,0.0006246704306297604,True,-0.9545652833997611,0.34071598564613104,False,-0.9545652833997611
68,0.0005795819808149657,0.0007067014624011428,-0.000812238441905506,0.0019714024035354374,True,0.8201227981695889,0.4129242366254256,False,0.8201227981695889
69,-0.0006384692998937153,0.000660741307305731,-0.001939773025116702,0.0006628344253292713,True,-0.9662923943671193,0.334827993371252,False,-0.9662923943671194
70,-2.3252116782589923e-05,0.0006089897977279377,-0.0012226333021932829,0.001176129068628103,True,-0.03818145536976246,0.9695733564877606,False,-0.03818145536976246
71,0.00017960027972132748,0.0006248381075682534,-0.0010509935215885986,0.0014101940810312536,True,0.28743490121032517,0.7740165052667694,False,0.2874349012103252
72,0.00011120423866932023,0.0006591925055599482,-0.0011870491831154917,0.001409457660454132,True,0.16869766833113226,0.8661703157801255,False,0.1686976683311323
73,-0.00011562287189051761,0.0005886108638303391,-0.001274868557516652,0.0010436228137356168,True,-0.19643346563145442,0.8444298552265981,False,-0.19643346563145445
74,-0.00013193573816545198,0.0006085506102128242,-0.0013304519612328354,0.0010665804849019312,True,-0.21680323041548014,0.8285378062224152,False,-0.21680323041548016
